Price,Adj Close,Close,High,Low,Open,Volume
Ticker,LVMUY,LVMUY,LVMUY,LVMUY,LVMUY,LVMUY
Date,,,,,,
2020-01-02,87.19112396240234,94.27999877929688,94.44000244140625,93.69000244140625,94.0,104400
2020-01-03,86.41429901123047,93.44000244140625,93.75,92.7300033569336,92.80999755859375,74500
2020-01-06,86.39579772949219,93.41999816894531,93.41999816894531,92.05000305175781,92.05000305175781,77500
2020-01-07,85.58196258544922,92.54000091552734,93.05000305175781,92.3499984741211,92.9000015258789,155100
2020-01-08,86.28483581542969,93.30000305175781,93.6500015258789,92.30000305175781,92.30000305175781,105000
2020-01-09,87.39459228515625,94.5,94.62000274658203,93.91999816894531,94.06999969482422,157700
2020-01-10,87.00617218017578,94.08000183105469,94.47000122070312,93.77999877929688,94.08999633789062,79200
2020-01-13,88.29167175292969,95.47000122070312,95.70999908447266,94.41999816894531,94.72000122070312,300000
2020-01-14,88.5043716430664,95.69999694824219,95.9000015258789,95.06999969482422,95.55000305175781,284400
2020-01-15,88.94828796386719,96.18000030517578,96.25,95.61000061035156,95.7699966430664,235300
2020-01-16,89.1979751586914,96.44999694824219,96.62999725341797,95.81999969482422,95.93000030517578,145400
2020-01-17,89.87308502197266,97.18000030517578,97.55000305175781,96.54000091552734,96.69000244140625,136300
2020-01-21,86.98768615722656,94.05999755859375,94.83999633789062,93.41999816894531,93.55000305175781,161100
2020-01-22,86.56226348876953,93.5999984741211,94.4000015258789,93.5999984741211,94.36000061035156,86900
2020-01-23,85.33226013183594,92.2699966430664,92.30000305175781,90.75,92.0,344700
2020-01-24,84.33348083496094,91.19000244140625,91.9800033569336,90.94999694824219,91.87000274658203,423100
2020-01-27,82.00294494628906,88.66999816894531,88.87999725341797,87.86000061035156,87.93000030517578,173500
2020-01-28,82.23417663574219,88.91999816894531,90.72000122070312,87.5,89.44000244140625,274200
2020-01-29,82.9092788696289,89.6500015258789,90.25,89.37000274658203,89.80000305175781,154000
2020-01-30,82.16941833496094,88.8499984741211,88.91000366210938,87.73999786376953,87.93000030517578,160400
2020-01-31,80.6249771118164,87.18000030517578,87.81999969482422,86.91000366210938,87.52999877929688,122500
2020-02-03,80.99491119384766,87.58000183105469,88.12000274658203,87.33999633789062,87.5,108200
2020-02-04,83.80634307861328,90.62000274658203,90.9000015258789,89.81999969482422,89.91000366210938,227700
2020-02-05,84.41670989990234,91.27999877929688,91.51000213623047,90.83999633789062,91.19999694824219,266600
2020-02-06,84.93460845947266,91.83999633789062,91.91999816894531,91.47000122070312,91.80999755859375,88200
2020-02-07,83.23294067382812,90.0,90.9000015258789,89.7300033569336,89.87000274658203,150800
2020-02-10,83.74159240722656,90.55000305175781,90.55000305175781,89.86000061035156,89.93000030517578,120400
2020-02-11,83.56587219238281,90.36000061035156,90.36000061035156,89.81999969482422,89.93000030517578,136900
2020-02-12,85.69294738769531,92.66000366210938,92.83999633789062,91.47000122070312,91.69000244140625,271400
2020-02-13,84.55542755126953,91.43000030517578,91.55999755859375,90.72000122070312,91.41999816894531,145200
2020-02-14,83.3161849975586,90.08999633789062,90.83000183105469,89.87000274658203,90.69000244140625,171700
2020-02-18,81.98445129394531,88.6500015258789,88.73999786376953,88.12000274658203,88.20999908447266,143000
2020-02-19,83.7970962524414,90.61000061035156,90.80999755859375,89.5199966430664,89.66999816894531,371500
2020-02-20,82.30815887451172,89.0,89.3499984741211,88.4000015258789,88.88999938964844,340500
2020-02-21,81.40181732177734,88.0199966430664,88.5199966430664,87.55000305175781,88.43000030517578,384400
2020-02-24,76.89799499511719,83.1500015258789,84.45999908447266,83.0199966430664,83.45999908447266,260000
2020-02-25,75.39055633544922,81.5199966430664,83.88999938964844,81.0999984741211,83.77999877929688,205300
2020-02-26,76.296875,82.5,84.05999755859375,82.37000274658203,83.4800033569336,251500
2020-02-27,73.38372039794922,79.3499984741211,82.44999694824219,79.3499984741211,80.0,327700
2020-02-28,76.50032806396484,82.72000122070312,82.88999938964844,79.25,79.80999755859375,370200
2020-03-02,78.90483093261719,85.31999969482422,85.33999633789062,82.5,83.22000122070312,291900
2020-03-03,76.96273040771484,83.22000122070312,86.7300033569336,82.30000305175781,85.41999816894531,174800
2020-03-04,80.56024932861328,87.11000061035156,87.37000274658203,84.62999725341797,84.91999816894531,135800
2020-03-05,76.7130355834961,82.94999694824219,84.3499984741211,82.25,83.94999694824219,343300
2020-03-06,75.34432983398438,81.47000122070312,81.9800033569336,80.3499984741211,81.69999694824219,316800
2020-03-09,69.78620910644531,75.45999908447266,78.55000305175781,74.9000015258789,76.48999786376953,296900
2020-03-10,72.69934844970703,78.61000061035156,79.19999694824219,75.36000061035156,79.12999725341797,236000
2020-03-11,68.12154388427734,73.66000366210938,75.91000366210938,72.81999969482422,75.69000244140625,328200
2020-03-12,61.786590576171875,66.80999755859375,70.37999725341797,65.51000213623047,68.45999908447266,359200
2020-03-13,68.03831481933594,73.56999969482422,73.88999938964844,68.73999786376953,73.8499984741211,485100
2020-03-16,59.4190788269043,64.25,67.91999816894531,63.0,64.1500015258789,332900
2020-03-17,63.811927795410156,69.0,69.33999633789062,66.6500015258789,67.58999633789062,393100
2020-03-18,57.828399658203125,62.529998779296875,64.01000213623047,60.04999923706055,63.0099983215332,321200
2020-03-19,57.809913635253906,62.5099983215332,63.75,60.900001525878906,61.88999938964844,223800
2020-03-20,58.45726776123047,63.209999084472656,67.97000122070312,62.36000061035156,67.97000122070312,272900
2020-03-23,61.52764129638672,66.52999877929688,68.0,65.20999908447266,65.72000122070312,340400
2020-03-24,67.38169860839844,72.86000061035156,73.98999786376953,71.5199966430664,71.98999786376953,253800
2020-03-25,73.96636199951172,79.9800033569336,80.83999633789062,73.5999984741211,74.5999984741211,379900
2020-03-26,74.45651245117188,80.51000213623047,80.9000015258789,76.38999938964844,76.4000015258789,705600
2020-03-27,68.86139678955078,74.45999908447266,77.5,73.79000091552734,74.47000122070312,380400
2020-03-30,71.67281341552734,77.5,78.05000305175781,73.87999725341797,74.2300033569336,209200
2020-03-31,68.81515502929688,74.41000366210938,75.08999633789062,73.11000061035156,74.13999938964844,227800
2020-04-01,65.2916259765625,70.5999984741211,71.30000305175781,70.01000213623047,70.73999786376953,193200
2020-04-02,65.64305114746094,70.9800033569336,71.75,68.7300033569336,69.2699966430664,161500
2020-04-03,64.57027435302734,69.81999969482422,70.81999969482422,69.19999694824219,70.44999694824219,197600
2020-04-06,68.68567657470703,74.2699966430664,74.87999725341797,73.25,73.9000015258789,167500
2020-04-07,68.94464111328125,74.55000305175781,76.86000061035156,74.29000091552734,76.62000274658203,169200
2020-04-08,69.2220687866211,74.8499984741211,75.19999694824219,73.72000122070312,74.94000244140625,171900
2020-04-09,70.9237289428711,76.69000244140625,77.23999786376953,75.04000091552734,75.93000030517578,368500
2020-04-13,70.193115234375,75.9000015258789,76.75,73.25,73.25,143900
2020-04-14,71.74679565429688,77.58000183105469,77.77999877929688,76.69999694824219,77.23999786376953,220600
2020-04-15,68.66719055175781,74.25,75.5199966430664,73.4800033569336,74.19000244140625,191400
2020-04-16,69.12958526611328,74.75,75.98999786376953,73.69000244140625,74.80999755859375,269500
2020-04-17,73.5887680053711,78.5199966430664,78.63999938964844,77.6500015258789,78.05999755859375,197600
2020-04-20,72.29544067382812,77.13999938964844,78.80000305175781,77.02999877929688,77.5999984741211,192100
2020-04-21,71.26453399658203,76.04000091552734,77.0999984741211,75.11000061035156,76.12999725341797,149200
2020-04-22,72.1829833984375,77.0199966430664,77.20999908447266,75.81999969482422,76.51000213623047,123400
2020-04-23,69.87747192382812,74.55999755859375,76.43000030517578,74.29000091552734,74.55999755859375,213700
2020-04-24,70.34607696533203,75.05999755859375,75.31999969482422,73.5,74.63999938964844,117700
2020-04-27,71.41445922851562,76.19999694824219,76.44000244140625,75.0199966430664,75.19000244140625,480200
2020-04-28,72.30481719970703,77.1500015258789,78.18000030517578,76.86000061035156,78.18000030517578,145600
2020-04-29,73.57003784179688,78.5,78.69999694824219,77.19999694824219,77.5999984741211,166900
2020-04-30,72.14549255371094,76.9800033569336,77.80999755859375,76.19000244140625,77.79000091552734,182600
2020-05-01,71.1052017211914,75.87000274658203,77.23999786376953,75.0,75.0,112300
2020-05-04,69.75564575195312,74.43000030517578,74.62999725341797,72.80000305175781,73.05000305175781,231500
2020-05-05,68.69660949707031,73.30000305175781,74.48999786376953,73.19000244140625,73.83000183105469,161800
2020-05-06,68.302978515625,72.87999725341797,73.5999984741211,72.52999877929688,73.29000091552734,168700
2020-05-07,70.40231323242188,75.12000274658203,75.75,73.7699966430664,74.9800033569336,259400
2020-05-08,72.24858093261719,77.08999633789062,77.4000015258789,76.12999725341797,76.30000305175781,108500
2020-05-11,71.18955993652344,75.95999908447266,76.37000274658203,75.0,75.70999908447266,193600
2020-05-12,69.98992919921875,74.68000030517578,76.31999969482422,74.5999984741211,76.12999725341797,246500
2020-05-13,67.69380187988281,72.2300033569336,73.48999786376953,71.66000366210938,73.12000274658203,199600
2020-05-14,67.58134460449219,72.11000061035156,72.11000061035156,70.0,70.5999984741211,163900
2020-05-15,67.53447723388672,72.05999755859375,72.16999816894531,71.2300033569336,71.52999877929688,126100
2020-05-18,71.82683563232422,76.63999938964844,76.95999908447266,74.13999938964844,74.13999938964844,185600
2020-05-19,72.50162506103516,77.36000061035156,78.48999786376953,77.2300033569336,78.13999938964844,153500
2020-05-20,74.3853988647461,79.37000274658203,79.55000305175781,78.44999694824219,78.88999938964844,166300
2020-05-21,74.08549499511719,79.05000305175781,79.43000030517578,78.56999969482422,79.06999969482422,104300
